customer_id,first_name,last_name,date_of_birth,address,city,state,zip
76,Marcus,Garcia,1971-12-16,88402 Nelson Expressway,Port Timothybury,ND,75262
77,Anthony,Vega,1993-05-23,5454 Michael Union Apt. 575,Richardsonberg,ID,46393
78,Dawn,Miller,2002-04-13,618 Joshua Cove,New Evelynfurt,CT,13371
79,Toni,Aguilar,1968-01-05,14580 George Loaf Apt. 904,New Jack,CA,57344
80,Allen,Miller,1990-07-12,034 Townsend Prairie,Stephaniefurt,RI,78279
81,Travis,Roman,1963-12-21,60747 Joel Rest,Kellyshire,WI,87529
82,Natalie,Jenkins,1968-12-23,71078 Herrera Views,Port Sarahfort,KY,23675
83,Nathan,Johnson,1995-11-03,6889 Kelly Loaf Apt. 727,Lake Deborahview,FL,64871
84,Alexandra,Dickerson,1979-09-18,6317 Michael Freeway Apt. 166,Bensonstad,NY,54226
85,Patricia,Mitchell,1998-09-13,53582 Rogers Mountains,East Sylviatown,GA,79283
86,Roger,Sims,1999-01-23,09201 Roth Isle Apt. 909,Jaymouth,AK,74733
87,Anna,Warner,2001-11-15,230 Richardson Ranch Apt. 035,Jasonview,NC,19485
88,Tanya,Carey,2000-11-10,4736 Stewart Stravenue,North Kennethfort,ND,63918
89,Sarah,Thompson,1972-02-14,1663 Fleming Ways,Allenmouth,GU,73358
90,Brian,Gonzalez,1998-11-05,649 Jimenez Plains,Jamesside,AZ,93289
91,William,Rose,1984-01-15,35475 Hughes Canyon Apt. 925,West Melissaview,CA,61820
92,Michael,Berg,1965-11-14,1834 Lewis Isle,New Lynntown,VA,81314
93,Kara,Payne,2002-10-12,5389 Mosley Corner Suite 730,Mclaughlinburgh,PA,89823
94,Joshua,Barrett,1972-07-26,65031 Oliver Radial,North Mark,VI,94194
95,John,Taylor,1970-08-30,79550 Alicia Stream,East Michael,WV,31389
96,Kristina,Adams,1997-07-12,92132 Briggs Trail,Lake Ian,MT,36137
97,Rodney,Arnold,1988-03-12,1054 Bonnie Isle Suite 820,Fosterland,HI,22637
98,Amy,Baker,1968-10-18,44701 Megan Union,Matthewport,UT,32893
99,Andrew,Moreno,1973-11-13,4137 Gregory Tunnel Apt. 107,Williamchester,MI,43667
100,Robert,Johnson,1981-05-02,5844 Johnston Creek,Latoyaton,GA,53138
